order_id,customer_id,order_date,order_status,total_amount,payment_method,customer_city,customer_state,product_category,customer_rating,delivery_days
ORD000016,CUST01397,2023-01-03 04:34:13.850770154,Delivered,372.45,Credit Card,Rio de Janeiro,CE,Books,5,2
ORD000017,CUST01124,2023-01-03 08:04:30.774154830,Delivered,198.13,Credit Card,Salvador,RJ,Home & Garden,5,14
ORD000018,CUST00872,2023-01-03 11:34:47.697539507,Delivered,365.65,Credit Card,Rio de Janeiro,RJ,Clothing,5,14
ORD000019,CUST01688,2023-01-03 15:05:04.620924184,Shipped,344.48,PayPal,Rio de Janeiro,DF,Beauty,4,12
ORD000020,CUST00131,2023-01-03 18:35:21.544308861,Delivered,358.72,Cash,Rio de Janeiro,SP,Home & Garden,5,11
ORD000021,CUST01686,2023-01-03 22:05:38.467693538,Delivered,254.83,Credit Card,Rio de Janeiro,DF,Sports,4,12
ORD000022,CUST01333,2023-01-04 01:35:55.391078215,Delivered,203.81,Debit Card,Sao Paulo,CE,Clothing,5,6
ORD000023,CUST00770,2023-01-04 05:06:12.314462892,Delivered,126.6,Debit Card,Rio de Janeiro,BA,Books,5,6
ORD000024,CUST00344,2023-01-04 08:36:29.237847569,Delivered,415.82,Debit Card,Brasilia,CE,Electronics,5,14
ORD000025,CUST01516,2023-01-04 12:06:46.161232246,Delivered,312.01,Debit Card,Rio de Janeiro,BA,Sports,5,8
ORD000026,CUST01438,2023-01-04 15:37:03.084616923,Delivered,233.29,Credit Card,Sao Paulo,SP,Clothing,1,13
ORD000027,CUST00806,2023-01-04 19:07:20.008001600,Delivered,473.12,Credit Card,Fortaleza,SP,Electronics,5,10
ORD000028,CUST00386,2023-01-04 22:37:36.931386277,Delivered,42.96,Credit Card,Fortaleza,SP,Clothing,4,12
ORD000029,CUST01216,2023-01-05 02:07:53.854770954,Delivered,428.08,Credit Card,Fortaleza,RJ,Beauty,5,1
ORD000030,CUST00956,2023-01-05 05:38:10.778155631,Delivered,498.84,Debit Card,Salvador,RJ,Sports,3,4
ORD000031,CUST00277,2023-01-05 09:08:27.701540308,Shipped,445.73,Credit Card,Brasilia,BA,Clothing,4,12
ORD000032,CUST01185,2023-01-05 12:38:44.624924985,Delivered,409.01,Credit Card,Sao Paulo,DF,Books,5,2
ORD000033,CUST00460,2023-01-05 16:09:01.548309661,Delivered,199.67,Credit Card,Fortaleza,DF,Clothing,5,11
ORD000034,CUST01338,2023-01-05 19:39:18.471694338,Delivered,131.03,PayPal,Sao Paulo,BA,Sports,4,8
ORD000035,CUST00022,2023-01-05 23:09:35.395079015,Shipped,372.73,PayPal,Sao Paulo,RJ,Clothing,5,12
ORD000036,CUST00253,2023-01-06 02:39:52.318463692,Delivered,166.2,Debit Card,Salvador,CE,Electronics,5,4
ORD000037,CUST00748,2023-01-06 06:10:09.241848369,Delivered,104.5,Credit Card,Fortaleza,BA,Electronics,4,14
ORD000038,CUST00857,2023-01-06 09:40:26.165233046,Delivered,397.53,Debit Card,Rio de Janeiro,DF,Beauty,5,8
ORD000039,CUST01585,2023-01-06 13:10:43.088617723,Delivered,170.02,Credit Card,Sao Paulo,BA,Home & Garden,4,13
ORD000040,CUST00475,2023-01-06 16:41:00.012002400,Delivered,458.93,Credit Card,Fortaleza,BA,Beauty,5,2
ORD000041,CUST01083,2023-01-06 20:11:16.935387077,Delivered,423.5,Credit Card,Sao Paulo,SP,Home & Garden,1,13
ORD000042,CUST00511,2023-01-06 23:41:33.858771754,Delivered,426.87,Debit Card,Salvador,RJ,Books,5,14
ORD000043,CUST01706,2023-01-07 03:11:50.782156431,Delivered,390.35,Debit Card,Salvador,SP,Electronics,4,4
ORD000044,CUST01500,2023-01-07 06:42:07.705541108,Delivered,442.82,Cash,Rio de Janeiro,RJ,Home & Garden,4,12
ORD000045,CUST00700,2023-01-07 10:12:24.628925785,Shipped,406.76,PayPal,Salvador,BA,Clothing,5,9
ORD000046,CUST00976,2023-01-07 13:42:41.552310462,Delivered,309.21,Credit Card,Fortaleza,RJ,Books,5,5
ORD000047,CUST01807,2023-01-07 17:12:58.475695139,Delivered,161.99,Credit Card,Salvador,DF,Sports,5,6
ORD000048,CUST00190,2023-01-07 20:43:15.399079816,Delivered,446.34,Credit Card,Rio de Janeiro,SP,Home & Garden,5,10
ORD000049,CUST00958,2023-01-08 00:13:32.322464492,Processing,423.49,Debit Card,Brasilia,BA,Beauty,5,12
ORD000050,CUST00687,2023-01-08 03:43:49.245849169,Delivered,246.98,Debit Card,Sao Paulo,DF,Home & Garden,4,9
ORD000051,CUST00958,2023-01-08 07:14:06.169233846,Processing,38.76,Cash,Sao Paulo,RJ,Beauty,4,9
ORD000052,CUST00563,2023-01-08 10:44:23.092618523,Delivered,326.5,Debit Card,Fortaleza,RJ,Beauty,1,7
ORD000053,CUST01900,2023-01-08 14:14:40.016003200,Delivered,44.29,PayPal,Rio de Janeiro,DF,Electronics,4,11
ORD000054,CUST01591,2023-01-08 17:44:56.939387877,Delivered,464.61,Debit Card,Rio de Janeiro,RJ,Books,5,2
ORD000055,CUST01268,2023-01-08 21:15:13.862772554,Shipped,481.58,PayPal,Rio de Janeiro,SP,Beauty,4,7
ORD000056,CUST00832,2023-01-09 00:45:30.786157231,Delivered,110.96,Debit Card,Sao Paulo,CE,Electronics,4,9
ORD000057,CUST01529,2023-01-09 04:15:47.709541908,Shipped,344.67,Debit Card,Salvador,RJ,Electronics,4,2
ORD000058,CUST01155,2023-01-09 07:46:04.632926585,Processing,64.29,Debit Card,Sao Paulo,BA,Beauty,4,7
ORD000059,CUST01509,2023-01-09 11:16:21.556311262,Delivered,370.17,Debit Card,Sao Paulo,RJ,Books,2,12
ORD000060,CUST01843,2023-01-09 14:46:38.479695939,Delivered,186.7,Credit Card,Sao Paulo,BA,Clothing,5,7
ORD000061,CUST00647,2023-01-09 18:16:55.403080616,Processing,346.9,Credit Card,Salvador,RJ,Home & Garden,4,3
ORD000062,CUST00021,2023-01-09 21:47:12.326465293,Delivered,198.98,Credit Card,Brasilia,RJ,Electronics,5,6
ORD000063,CUST00841,2023-01-10 01:17:29.249849970,Delivered,89.87,Credit Card,Fortaleza,BA,Home & Garden,5,8
ORD000064,CUST00167,2023-01-10 04:47:46.173234647,Delivered,214.93,Debit Card,Brasilia,SP,Books,5,10
ORD000065,CUST01298,2023-01-10 08:18:03.096619323,Delivered,74.08,Credit Card,Brasilia,CE,Clothing,5,8
ORD000066,CUST00388,2023-01-10 11:48:20.020004000,Processing,296.9,Credit Card,Sao Paulo,CE,Sports,5,14
ORD000067,CUST00601,2023-01-10 15:18:36.943388677,Delivered,39.66,Credit Card,Brasilia,SP,Clothing,4,3
ORD000068,CUST00316,2023-01-10 18:48:53.866773354,Delivered,273.11,Debit Card,Sao Paulo,RJ,Books,4,6
ORD000069,CUST00014,2023-01-10 22:19:10.790158031,Delivered,445.46,Credit Card,Sao Paulo,CE,Clothing,5,2
ORD000070,CUST00242,2023-01-11 01:49:27.713542708,Delivered,422.18,Credit Card,Fortaleza,SP,Sports,2,14
ORD000071,CUST00777,2023-01-11 05:19:44.636927385,Shipped,443.74,Credit Card,Rio de Janeiro,SP,Electronics,3,2
ORD000072,CUST01370,2023-01-11 08:50:01.560312062,Delivered,462.58,Credit Card,Sao Paulo,CE,Clothing,4,13
ORD000073,CUST00565,2023-01-11 12:20:18.483696739,Delivered,70.17,PayPal,Brasilia,BA,Beauty,5,8
ORD000074,CUST00898,2023-01-11 15:50:35.407081416,Delivered,81.8,Credit Card,Fortaleza,DF,Beauty,1,11
ORD000075,CUST01364,2023-01-11 19:20:52.330466093,Delivered,287.36,Debit Card,Brasilia,BA,Books,5,10
ORD000076,CUST00092,2023-01-11 22:51:09.253850770,Processing,449.11,Debit Card,Rio de Janeiro,RJ,Clothing,5,5
ORD000077,CUST01391,2023-01-12 02:21:26.177235447,Delivered,487.69,Cash,Salvador,BA,Sports,4,5
ORD000078,CUST00956,2023-01-12 05:51:43.100620124,Delivered,42.21,Credit Card,Rio de Janeiro,DF,Books,4,11
ORD000079,CUST01479,2023-01-12 09:22:00.024004801,Delivered,190.77,Credit Card,Fortaleza,DF,Clothing,5,4
ORD000080,CUST01452,2023-01-12 12:52:16.947389477,Cancelled,122.19,Credit Card,Rio de Janeiro,SP,Books,3,11
ORD000081,CUST00509,2023-01-12 16:22:33.870774154,Delivered,382.86,Credit Card,Rio de Janeiro,RJ,Beauty,3,10
ORD000082,CUST00776,2023-01-12 19:52:50.794158831,Delivered,327.29,Debit Card,Fortaleza,SP,Sports,4,4
ORD000083,CUST01967,2023-01-12 23:23:07.717543508,Delivered,77.55,Credit Card,Fortaleza,BA,Electronics,5,8
ORD000084,CUST00035,2023-01-13 02:53:24.640928185,Shipped,252.09,Credit Card,Brasilia,BA,Sports,5,3
ORD000085,CUST00206,2023-01-13 06:23:41.564312862,Delivered,349.01,PayPal,Sao Paulo,CE,Electronics,4,11
ORD000086,CUST01105,2023-01-13 09:53:58.487697539,Delivered,393.92,Debit Card,Salvador,SP,Home & Garden,5,3
ORD000087,CUST01956,2023-01-13 13:24:15.411082216,Delivered,29.63,Credit Card,Salvador,SP,Beauty,5,8
ORD000088,CUST01586,2023-01-13 16:54:32.334466893,Delivered,447.43,Credit Card,Salvador,SP,Beauty,4,3
ORD000089,CUST01896,2023-01-13 20:24:49.257851570,Delivered,293.26,Credit Card,Rio de Janeiro,SP,Beauty,2,12
ORD000090,CUST01412,2023-01-13 23:55:06.181236247,Shipped,409.72,Cash,Fortaleza,DF,Sports,5,2
ORD000091,CUST01026,2023-01-14 03:25:23.104620924,Delivered,407.81,PayPal,Fortaleza,CE,Electronics,5,13
ORD000092,CUST01022,2023-01-14 06:55:40.028005601,Delivered,111.13,PayPal,Fortaleza,RJ,Home & Garden,5,11
ORD000093,CUST01414,2023-01-14 10:25:56.951390278,Delivered,72.88,Cash,Sao Paulo,RJ,Home & Garden,4,13
ORD000094,CUST00566,2023-01-14 13:56:13.874774955,Delivered,366.22,Debit Card,Fortaleza,RJ,Home & Garden,5,13
ORD000095,CUST01130,2023-01-14 17:26:30.798159632,Delivered,95.08,Credit Card,Fortaleza,DF,Books,5,5
ORD000096,CUST01796,2023-01-14 20:56:47.721544309,Shipped,427.97,Credit Card,Rio de Janeiro,CE,Sports,2,11
ORD000097,CUST01846,2023-01-15 00:27:04.644928985,Delivered,368.57,Debit Card,Brasilia,CE,Sports,5,3
ORD000098,CUST01501,2023-01-15 03:57:21.568313662,Delivered,424.08,PayPal,Salvador,DF,Beauty,4,6
ORD000099,CUST00703,2023-01-15 07:27:38.491698339,Delivered,163.53,Credit Card,Rio de Janeiro,SP,Sports,3,11
ORD000100,CUST00402,2023-01-15 10:57:55.415083016,Delivered,171.97,Debit Card,Rio de Janeiro,BA,Sports,2,7
ORD000101,CUST00730,2023-01-15 14:28:12.338467693,Delivered,342.19,Cash,Rio de Janeiro,SP,Books,5,3
ORD000102,CUST01580,2023-01-15 17:58:29.261852370,Delivered,35.09,Credit Card,Salvador,RJ,Sports,5,9
ORD000103,CUST00162,2023-01-15 21:28:46.185237047,Processing,368.72,PayPal,Rio de Janeiro,SP,Electronics,5,10
ORD000104,CUST00202,2023-01-16 00:59:03.108621724,Delivered,421.18,Credit Card,Brasilia,DF,Home & Garden,5,1
ORD000105,CUST01982,2023-01-16 04:29:20.032006401,Delivered,219.28,Credit Card,Fortaleza,RJ,Books,4,14
ORD000106,CUST00996,2023-01-16 07:59:36.955391078,Processing,387.14,Credit Card,Brasilia,BA,Books,5,7
ORD000107,CUST00270,2023-01-16 11:29:53.878775755,Delivered,103.81,Debit Card,Fortaleza,RJ,Beauty,5,4
ORD000108,CUST01887,2023-01-16 15:00:10.802160432,Delivered,174.68,Debit Card,Fortaleza,SP,Sports,5,7
ORD000109,CUST00816,2023-01-16 18:30:27.725545109,Delivered,487.67,Credit Card,Rio de Janeiro,CE,Home & Garden,4,9
ORD000110,CUST01295,2023-01-16 22:00:44.648929786,Delivered,493.44,PayPal,Rio de Janeiro,CE,Electronics,5,9
ORD000111,CUST00456,2023-01-17 01:31:01.572314463,Delivered,266.05,Debit Card,Salvador,CE,Home & Garden,3,1
ORD000112,CUST01486,2023-01-17 05:01:18.495699139,Delivered,468.45,Debit Card,Sao Paulo,RJ,Clothing,5,10
ORD000113,CUST01751,2023-01-17 08:31:35.419083816,Delivered,270.91,Credit Card,Brasilia,CE,Home & Garden,5,13
ORD000114,CUST01276,2023-01-17 12:01:52.342468493,Delivered,159.96,PayPal,Salvador,DF,Electronics,5,12
ORD000115,CUST01017,2023-01-17 15:32:09.265853170,Delivered,148.11,Credit Card,Salvador,BA,Electronics,1,4
ORD000116,CUST01726,2023-01-17 19:02:26.189237847,Delivered,466.16,Credit Card,Brasilia,CE,Electronics,2,7
ORD000117,CUST00296,2023-01-17 22:32:43.112622524,Delivered,102.77,Credit Card,Brasilia,DF,Books,2,10
ORD000118,CUST01749,2023-01-18 02:03:00.036007201,Delivered,298.22,Credit Card,Fortaleza,DF,Books,5,6
ORD000119,CUST00720,2023-01-18 05:33:16.959391878,Delivered,286.65,PayPal,Sao Paulo,RJ,Clothing,5,9
ORD000120,CUST01773,2023-01-18 09:03:33.882776555,Shipped,375.02,Credit Card,Rio de Janeiro,RJ,Home & Garden,5,13
ORD000121,CUST00338,2023-01-18 12:33:50.806161232,Delivered,259.64,Credit Card,Sao Paulo,BA,Sports,4,7
ORD000122,CUST00879,2023-01-18 16:04:07.729545909,Delivered,150.7,PayPal,Sao Paulo,BA,Beauty,2,3
ORD000123,CUST01077,2023-01-18 19:34:24.652930586,Processing,101.31,Debit Card,Rio de Janeiro,SP,Clothing,4,7
ORD000124,CUST00792,2023-01-18 23:04:41.576315263,Delivered,317.99,PayPal,Sao Paulo,BA,Sports,1,10
ORD000125,CUST01946,2023-01-19 02:34:58.499699940,Delivered,365.12,Credit Card,Salvador,RJ,Sports,5,14
ORD000126,CUST00217,2023-01-19 06:05:15.423084617,Delivered,293.37,Debit Card,Salvador,DF,Clothing,5,5
ORD000127,CUST00764,2023-01-19 09:35:32.346469294,Shipped,374.41,Credit Card,Rio de Janeiro,SP,Home & Garden,5,14
ORD000128,CUST00188,2023-01-19 13:05:49.269853970,Delivered,87.93,Cash,Rio de Janeiro,BA,Beauty,4,2
ORD000129,CUST00380,2023-01-19 16:36:06.193238647,Delivered,443.59,Debit Card,Brasilia,DF,Sports,1,10
ORD000130,CUST00493,2023-01-19 20:06:23.116623324,Shipped,299.55,Debit Card,Brasilia,RJ,Books,4,3
ORD000131,CUST01065,2023-01-19 23:36:40.040008001,Delivered,80.89,Credit Card,Sao Paulo,CE,Books,5,6
ORD000132,CUST01181,2023-01-20 03:06:56.963392678,Delivered,241.72,Credit Card,Sao Paulo,SP,Clothing,5,13
ORD000133,CUST00015,2023-01-20 06:37:13.886777355,Delivered,425.5,Credit Card,Rio de Janeiro,DF,Beauty,3,6
ORD000134,CUST01837,2023-01-20 10:07:30.810162032,Delivered,450.83,Credit Card,Sao Paulo,RJ,Beauty,3,7
ORD000135,CUST00065,2023-01-20 13:37:47.733546709,Delivered,147.03,Credit Card,Fortaleza,RJ,Sports,5,6
ORD000136,CUST01881,2023-01-20 17:08:04.656931386,Delivered,361.41,Debit Card,Salvador,SP,Clothing,5,9
ORD000137,CUST01863,2023-01-20 20:38:21.580316063,Delivered,67.99,Credit Card,Sao Paulo,SP,Beauty,4,14
ORD000138,CUST00521,2023-01-21 00:08:38.503700740,Shipped,36.1,PayPal,Sao Paulo,BA,Beauty,5,5
ORD000139,CUST01368,2023-01-21 03:38:55.427085417,Delivered,288.99,Credit Card,Brasilia,BA,Books,3,5
ORD000140,CUST01153,2023-01-21 07:09:12.350470094,Delivered,353.52,Credit Card,Fortaleza,SP,Clothing,5,8
ORD000141,CUST00648,2023-01-21 10:39:29.273854771,Delivered,401.98,PayPal,Sao Paulo,SP,Sports,4,8
ORD000142,CUST01496,2023-01-21 14:09:46.197239448,Delivered,183.3,Debit Card,Salvador,DF,Sports,2,1
ORD000143,CUST01087,2023-01-21 17:40:03.120624124,Delivered,23.13,Credit Card,Sao Paulo,BA,Books,4,3
ORD000144,CUST01163,2023-01-21 21:10:20.044008801,Delivered,250.17,Credit Card,Rio de Janeiro,RJ,Electronics,3,13
ORD000145,CUST01523,2023-01-22 00:40:36.967393478,Delivered,27.61,Debit Card,Fortaleza,BA,Electronics,5,6
ORD000146,CUST00593,2023-01-22 04:10:53.890778155,Delivered,64.15,Credit Card,Sao Paulo,BA,Beauty,5,6
ORD000147,CUST00392,2023-01-22 07:41:10.814162832,Delivered,176.81,Credit Card,Fortaleza,SP,Home & Garden,4,1
ORD000148,CUST01699,2023-01-22 11:11:27.737547509,Delivered,229.84,Debit Card,Sao Paulo,SP,Books,5,2
ORD000149,CUST00419,2023-01-22 14:41:44.660932186,Delivered,154.15,Credit Card,Salvador,BA,Home & Garden,4,10
ORD000150,CUST00289,2023-01-22 18:12:01.584316863,Delivered,299.3,Credit Card,Salvador,CE,Beauty,1,7
ORD000151,CUST00379,2023-01-22 21:42:18.507701540,Delivered,46.57,Cash,Fortaleza,CE,Books,5,1
ORD000152,CUST01797,2023-01-23 01:12:35.431086217,Delivered,89.4,PayPal,Brasilia,BA,Sports,5,10
ORD000153,CUST01514,2023-01-23 04:42:52.354470894,Delivered,353.72,Credit Card,Brasilia,CE,Books,2,5
ORD000154,CUST00231,2023-01-23 08:13:09.277855571,Shipped,88.23,Debit Card,Rio de Janeiro,BA,Clothing,4,1
ORD000155,CUST01018,2023-01-23 11:43:26.201240248,Delivered,327.09,Credit Card,Brasilia,SP,Home & Garden,5,6
ORD000156,CUST00041,2023-01-23 15:13:43.124624925,Delivered,46.25,PayPal,Fortaleza,SP,Books,3,7
ORD000157,CUST01052,2023-01-23 18:44:00.048009602,Delivered,215.54,Debit Card,Brasilia,SP,Home & Garden,5,8
ORD000158,CUST00135,2023-01-23 22:14:16.971394279,Delivered,105.16,Credit Card,Rio de Janeiro,RJ,Beauty,5,13
ORD000159,CUST00201,2023-01-24 01:44:33.894778955,Delivered,72.63,Credit Card,Sao Paulo,SP,Books,4,12
ORD000160,CUST01864,2023-01-24 05:14:50.818163632,Delivered,292.18,Credit Card,Brasilia,SP,Electronics,3,3
ORD000161,CUST00780,2023-01-24 08:45:07.741548309,Delivered,465.6,Debit Card,Fortaleza,BA,Home & Garden,5,14
ORD000162,CUST00930,2023-01-24 12:15:24.664932986,Shipped,46.3,Debit Card,Fortaleza,CE,Sports,4,14
ORD000163,CUST01057,2023-01-24 15:45:41.588317663,Delivered,222.35,Credit Card,Rio de Janeiro,CE,Sports,4,3
ORD000164,CUST01072,2023-01-24 19:15:58.511702340,Processing,359.62,Credit Card,Rio de Janeiro,SP,Books,5,11
ORD000165,CUST00503,2023-01-24 22:46:15.435087017,Delivered,242.09,Credit Card,Salvador,SP,Sports,5,1
ORD000166,CUST00407,2023-01-25 02:16:32.358471694,Delivered,407.12,Credit Card,Salvador,SP,Sports,4,12
ORD000167,CUST01598,2023-01-25 05:46:49.281856371,Delivered,106.23,Credit Card,Salvador,BA,Home & Garden,5,3
ORD000168,CUST01752,2023-01-25 09:17:06.205241048,Delivered,480.61,Debit Card,Sao Paulo,BA,Books,5,5
ORD000169,CUST00805,2023-01-25 12:47:23.128625725,Delivered,204.88,Debit Card,Fortaleza,BA,Home & Garden,4,6
ORD000170,CUST00099,2023-01-25 16:17:40.052010402,Cancelled,183.95,Cash,Salvador,CE,Books,4,3
ORD000171,CUST00684,2023-01-25 19:47:56.975395079,Delivered,439.81,Cash,Fortaleza,RJ,Sports,5,4
ORD000172,CUST01896,2023-01-25 23:18:13.898779756,Delivered,290.66,Debit Card,Rio de Janeiro,CE,Books,4,5
ORD000173,CUST00726,2023-01-26 02:48:30.822164433,Delivered,267.89,Debit Card,Sao Paulo,BA,Beauty,4,5
ORD000174,CUST01571,2023-01-26 06:18:47.745549109,Delivered,368.95,Cash,Rio de Janeiro,DF,Books,5,9
ORD000175,CUST00961,2023-01-26 09:49:04.668933786,Delivered,298.32,Credit Card,Fortaleza,RJ,Clothing,5,8
ORD000176,CUST01763,2023-01-26 13:19:21.592318463,Delivered,98.01,Credit Card,Salvador,SP,Books,5,1
ORD000177,CUST00613,2023-01-26 16:49:38.515703140,Delivered,343.61,Credit Card,Rio de Janeiro,CE,Clothing,5,2
ORD000178,CUST01967,2023-01-26 20:19:55.439087817,Delivered,84.07,Debit Card,Brasilia,RJ,Home & Garden,3,12
ORD000179,CUST01486,2023-01-26 23:50:12.362472494,Delivered,406.81,PayPal,Sao Paulo,DF,Clothing,4,5
ORD000180,CUST00643,2023-01-27 03:20:29.285857171,Shipped,495.07,Credit Card,Fortaleza,RJ,Home & Garden,5,12
ORD000181,CUST01793,2023-01-27 06:50:46.209241848,Delivered,201.15,Debit Card,Salvador,CE,Books,5,3
ORD000182,CUST01029,2023-01-27 10:21:03.132626525,Delivered,233.48,Debit Card,Rio de Janeiro,BA,Home & Garden,5,7
ORD000183,CUST01242,2023-01-27 13:51:20.056011202,Delivered,42.29,Credit Card,Sao Paulo,SP,Sports,4,14
ORD000184,CUST00503,2023-01-27 17:21:36.979395879,Cancelled,26.59,Credit Card,Salvador,BA,Beauty,5,11
ORD000185,CUST00767,2023-01-27 20:51:53.902780556,Delivered,462.28,Credit Card,Rio de Janeiro,BA,Books,3,6
ORD000186,CUST00398,2023-01-28 00:22:10.826165233,Shipped,81.74,Credit Card,Fortaleza,CE,Clothing,4,2
ORD000187,CUST00871,2023-01-28 03:52:27.749549910,Delivered,233.97,PayPal,Brasilia,BA,Beauty,4,8
ORD000188,CUST00795,2023-01-28 07:22:44.672934587,Delivered,411.37,PayPal,Brasilia,BA,Electronics,4,5
ORD000189,CUST00393,2023-01-28 10:53:01.596319264,Delivered,446.87,PayPal,Fortaleza,CE,Beauty,5,6
ORD000190,CUST00207,2023-01-28 14:23:18.519703941,Processing,269.31,Debit Card,Sao Paulo,CE,Books,1,8
ORD000191,CUST01039,2023-01-28 17:53:35.443088618,Delivered,291.22,PayPal,Fortaleza,DF,Beauty,3,13
ORD000192,CUST01882,2023-01-28 21:23:52.366473294,Delivered,341.45,Debit Card,Rio de Janeiro,BA,Beauty,4,6
ORD000193,CUST01578,2023-01-29 00:54:09.289857971,Delivered,481.46,Debit Card,Sao Paulo,RJ,Sports,5,10
ORD000194,CUST00892,2023-01-29 04:24:26.213242648,Delivered,309.28,Debit Card,Brasilia,SP,Home & Garden,5,3
ORD000195,CUST01485,2023-01-29 07:54:43.136627325,Delivered,288.55,Debit Card,Rio de Janeiro,SP,Beauty,5,13
ORD000196,CUST01715,2023-01-29 11:25:00.060012002,Delivered,26.98,Credit Card,Salvador,CE,Clothing,3,7
ORD000197,CUST01599,2023-01-29 14:55:16.983396679,Processing,58.86,Debit Card,Salvador,CE,Clothing,5,14
ORD000198,CUST00864,2023-01-29 18:25:33.906781356,Delivered,297.04,Credit Card,Salvador,DF,Sports,1,4
ORD000199,CUST00743,2023-01-29 21:55:50.830166033,Delivered,469.4,Debit Card,Brasilia,BA,Beauty,4,13
ORD000200,CUST01265,2023-01-30 01:26:07.753550710,Delivered,436.01,Credit Card,Fortaleza,CE,Beauty,5,6
ORD000201,CUST00564,2023-01-30 04:56:24.676935387,Delivered,491.64,Credit Card,Sao Paulo,CE,Sports,4,6
ORD000202,CUST01021,2023-01-30 08:26:41.600320064,Delivered,273.36,Cash,Brasilia,SP,Books,3,11
ORD000203,CUST00096,2023-01-30 11:56:58.523704741,Delivered,398.21,Credit Card,Rio de Janeiro,BA,Electronics,4,5
ORD000204,CUST01924,2023-01-30 15:27:15.447089418,Delivered,423.39,Credit Card,Rio de Janeiro,DF,Electronics,3,13
ORD000205,CUST01758,2023-01-30 18:57:32.370474095,Processing,331.06,Credit Card,Salvador,CE,Home & Garden,4,1
ORD000206,CUST00485,2023-01-30 22:27:49.293858772,Processing,182.6,PayPal,Sao Paulo,CE,Clothing,4,14
ORD000207,CUST01431,2023-01-31 01:58:06.217243448,Delivered,245.59,Debit Card,Salvador,CE,Books,4,8
ORD000208,CUST00231,2023-01-31 05:28:23.140628125,Shipped,431.8,Debit Card,Rio de Janeiro,SP,Clothing,5,13
ORD000209,CUST00749,2023-01-31 08:58:40.064012802,Delivered,163.3,PayPal,Rio de Janeiro,CE,Books,5,14
ORD000210,CUST01679,2023-01-31 12:28:56.987397479,Delivered,463.4,Credit Card,Fortaleza,CE,Sports,5,10
ORD000211,CUST01195,2023-01-31 15:59:13.910782156,Delivered,130.31,Credit Card,Fortaleza,SP,Home & Garden,5,2
ORD000212,CUST00541,2023-01-31 19:29:30.834166833,Delivered,379.77,Credit Card,Fortaleza,CE,Sports,5,4
ORD000213,CUST01060,2023-01-31 22:59:47.757551510,Delivered,322.67,Debit Card,Salvador,BA,Clothing,4,13
ORD000214,CUST00525,2023-02-01 02:30:04.680936187,Shipped,379.81,Debit Card,Sao Paulo,BA,Home & Garden,1,12
ORD000215,CUST01184,2023-02-01 06:00:21.604320864,Delivered,229.93,Credit Card,Fortaleza,SP,Beauty,5,3
ORD000216,CUST01863,2023-02-01 09:30:38.527705541,Shipped,467.67,Credit Card,Brasilia,BA,Books,4,6
ORD000217,CUST01723,2023-02-01 13:00:55.451090218,Delivered,323.59,Credit Card,Fortaleza,DF,Books,3,11
ORD000218,CUST01267,2023-02-01 16:31:12.374474895,Delivered,158.38,Debit Card,Salvador,CE,Home & Garden,4,1
ORD000219,CUST01110,2023-02-01 20:01:29.297859572,Cancelled,326.46,Credit Card,Sao Paulo,DF,Sports,5,9
ORD000220,CUST01820,2023-02-01 23:31:46.221244249,Delivered,157.67,Credit Card,Fortaleza,BA,Home & Garden,5,5
